datetime,resolutioncode,fueltypepublication,generatedpower,totalgeneratedpower
2025-03-05T21:00:00+00:00,PT15M,Nuclear,3487.46,5018.6
2025-03-05T21:00:00+00:00,PT15M,Natural Gas,1037.52,5018.6
2025-03-05T21:00:00+00:00,PT15M,Biofuels,0,5018.6
2025-03-05T20:45:00+00:00,PT15M,Wind Onshore,30.53,4989.43
2025-03-05T20:45:00+00:00,PT15M,Wind Offshore,33.65,4989.43
2025-03-05T20:45:00+00:00,PT15M,Water,4.49,4989.43
2025-03-05T20:45:00+00:00,PT15M,Solar,0,4989.43
2025-03-05T20:45:00+00:00,PT15M,Other Fuel,0,4989.43
2025-03-05T20:45:00+00:00,PT15M,Other,354.28,4989.43
2025-03-05T20:45:00+00:00,PT15M,Nuclear,3488.55,4989.43
2025-03-05T20:45:00+00:00,PT15M,Natural Gas,1077.93,4989.43
2025-03-05T20:45:00+00:00,PT15M,Biofuels,0,4989.43
2025-03-05T20:30:00+00:00,PT15M,Wind Onshore,27.99,5033.04
2025-03-05T20:30:00+00:00,PT15M,Wind Offshore,60.63,5033.04
2025-03-05T20:30:00+00:00,PT15M,Water,2.76,5033.04
2025-03-05T20:30:00+00:00,PT15M,Solar,0,5033.04
2025-03-05T20:30:00+00:00,PT15M,Other Fuel,0,5033.04
2025-03-05T20:30:00+00:00,PT15M,Other,375.79,5033.04
2025-03-05T20:30:00+00:00,PT15M,Nuclear,3488.4,5033.04
2025-03-05T20:30:00+00:00,PT15M,Natural Gas,1077.47,5033.04
2025-03-05T20:30:00+00:00,PT15M,Biofuels,0,5033.04
2025-03-05T20:15:00+00:00,PT15M,Wind Onshore,24.3,5059.36
2025-03-05T20:15:00+00:00,PT15M,Wind Offshore,78.65,5059.36
2025-03-05T20:15:00+00:00,PT15M,Water,0.6,5059.36
2025-03-05T20:15:00+00:00,PT15M,Solar,0,5059.36
2025-03-05T20:15:00+00:00,PT15M,Other Fuel,0,5059.36
2025-03-05T20:15:00+00:00,PT15M,Other,372.57,5059.36
2025-03-05T20:15:00+00:00,PT15M,Nuclear,3488.04,5059.36
2025-03-05T20:15:00+00:00,PT15M,Natural Gas,1095.2,5059.36
2025-03-05T20:15:00+00:00,PT15M,Biofuels,0,5059.36
2025-03-05T20:00:00+00:00,PT15M,Wind Onshore,18.4,5150.93
2025-03-05T20:00:00+00:00,PT15M,Wind Offshore,78.45,5150.93
2025-03-05T20:00:00+00:00,PT15M,Water,113.32,5150.93
2025-03-05T20:00:00+00:00,PT15M,Solar,0,5150.93
2025-03-05T20:00:00+00:00,PT15M,Other Fuel,0,5150.93
2025-03-05T20:00:00+00:00,PT15M,Other,375.57,5150.93
2025-03-05T20:00:00+00:00,PT15M,Nuclear,3487.94,5150.93
2025-03-05T20:00:00+00:00,PT15M,Natural Gas,1077.25,5150.93
2025-03-05T20:00:00+00:00,PT15M,Biofuels,0,5150.93
2025-03-05T19:45:00+00:00,PT15M,Wind Onshore,14.88,5584.44
2025-03-05T19:45:00+00:00,PT15M,Wind Offshore,83.53,5584.44
2025-03-05T19:45:00+00:00,PT15M,Water,505.8,5584.44
2025-03-05T19:45:00+00:00,PT15M,Solar,0,5584.44
2025-03-05T19:45:00+00:00,PT15M,Other Fuel,0,5584.44
2025-03-05T19:45:00+00:00,PT15M,Other,375.3,5584.44
2025-03-05T19:45:00+00:00,PT15M,Nuclear,3487.99,5584.44
2025-03-05T19:45:00+00:00,PT15M,Natural Gas,1116.94,5584.44
2025-03-05T19:45:00+00:00,PT15M,Biofuels,0,5584.44
2025-03-05T19:30:00+00:00,PT15M,Wind Onshore,10.61,5674.32
2025-03-05T19:30:00+00:00,PT15M,Wind Offshore,91.65,5674.32
2025-03-05T19:30:00+00:00,PT15M,Water,567.08,5674.32
2025-03-05T19:30:00+00:00,PT15M,Solar,0,5674.32
2025-03-05T19:30:00+00:00,PT15M,Other Fuel,0,5674.32
2025-03-05T19:30:00+00:00,PT15M,Other,402.97,5674.32
2025-03-05T19:30:00+00:00,PT15M,Nuclear,3488.24,5674.32
2025-03-05T19:30:00+00:00,PT15M,Natural Gas,1113.77,5674.32
2025-03-05T19:30:00+00:00,PT15M,Biofuels,0,5674.32
2025-03-05T19:15:00+00:00,PT15M,Wind Onshore,9.12,5649.27
2025-03-05T19:15:00+00:00,PT15M,Wind Offshore,81.57,5649.27
2025-03-05T19:15:00+00:00,PT15M,Water,573.18,5649.27
2025-03-05T19:15:00+00:00,PT15M,Solar,0,5649.27
2025-03-05T19:15:00+00:00,PT15M,Other Fuel,0,5649.27
2025-03-05T19:15:00+00:00,PT15M,Other,379.21,5649.27
2025-03-05T19:15:00+00:00,PT15M,Nuclear,3487.87,5649.27
2025-03-05T19:15:00+00:00,PT15M,Natural Gas,1118.32,5649.27
2025-03-05T19:15:00+00:00,PT15M,Biofuels,0,5649.27
2025-03-05T19:00:00+00:00,PT15M,Wind Onshore,6.91,5611.25
2025-03-05T19:00:00+00:00,PT15M,Wind Offshore,53.77,5611.25
2025-03-05T19:00:00+00:00,PT15M,Water,564.23,5611.25
2025-03-05T19:00:00+00:00,PT15M,Solar,0,5611.25
2025-03-05T19:00:00+00:00,PT15M,Other Fuel,0,5611.25
2025-03-05T19:00:00+00:00,PT15M,Other,361.88,5611.25
2025-03-05T19:00:00+00:00,PT15M,Nuclear,3487.16,5611.25
2025-03-05T19:00:00+00:00,PT15M,Natural Gas,1137.3,5611.25
2025-03-05T19:00:00+00:00,PT15M,Biofuels,0,5611.25
2025-03-05T18:45:00+00:00,PT15M,Wind Onshore,5.12,5792.81
2025-03-05T18:45:00+00:00,PT15M,Wind Offshore,46.35,5792.81
2025-03-05T18:45:00+00:00,PT15M,Water,581.17,5792.81
2025-03-05T18:45:00+00:00,PT15M,Solar,0,5792.81
2025-03-05T18:45:00+00:00,PT15M,Other Fuel,0,5792.81
2025-03-05T18:45:00+00:00,PT15M,Other,351.91,5792.81
2025-03-05T18:45:00+00:00,PT15M,Nuclear,3487.2,5792.81
2025-03-05T18:45:00+00:00,PT15M,Natural Gas,1321.06,5792.81
2025-03-05T18:45:00+00:00,PT15M,Biofuels,0,5792.81
2025-03-05T18:30:00+00:00,PT15M,Wind Onshore,3.82,5808.81
2025-03-05T18:30:00+00:00,PT15M,Wind Offshore,42.48,5808.81
2025-03-05T18:30:00+00:00,PT15M,Water,603.08,5808.81
2025-03-05T18:30:00+00:00,PT15M,Solar,0,5808.81
2025-03-05T18:30:00+00:00,PT15M,Other Fuel,0,5808.81
2025-03-05T18:30:00+00:00,PT15M,Other,338.32,5808.81
2025-03-05T18:30:00+00:00,PT15M,Nuclear,3485.67,5808.81
2025-03-05T18:30:00+00:00,PT15M,Natural Gas,1335.44,5808.81
2025-03-05T18:30:00+00:00,PT15M,Biofuels,0,5808.81
2025-03-05T18:15:00+00:00,PT15M,Wind Onshore,3.83,5799.83
2025-03-05T18:15:00+00:00,PT15M,Wind Offshore,37.31,5799.83
2025-03-05T18:15:00+00:00,PT15M,Water,608.84,5799.83
2025-03-05T18:15:00+00:00,PT15M,Solar,0,5799.83
2025-03-05T18:15:00+00:00,PT15M,Other Fuel,0,5799.83
2025-03-05T18:15:00+00:00,PT15M,Other,332.8,5799.83
2025-03-05T18:15:00+00:00,PT15M,Nuclear,3486.26,5799.83
2025-03-05T18:15:00+00:00,PT15M,Natural Gas,1330.79,5799.83
2025-03-05T18:15:00+00:00,PT15M,Biofuels,0,5799.83
2025-03-05T18:00:00+00:00,PT15M,Wind Onshore,4.16,5802.34
2025-03-05T18:00:00+00:00,PT15M,Wind Offshore,44.44,5802.34
2025-03-05T18:00:00+00:00,PT15M,Water,605.4,5802.34
2025-03-05T18:00:00+00:00,PT15M,Solar,0,5802.34
2025-03-05T18:00:00+00:00,PT15M,Other Fuel,0,5802.34
2025-03-05T18:00:00+00:00,PT15M,Other,331.9,5802.34
2025-03-05T18:00:00+00:00,PT15M,Nuclear,3486.72,5802.34
2025-03-05T18:00:00+00:00,PT15M,Natural Gas,1329.72,5802.34
2025-03-05T18:00:00+00:00,PT15M,Biofuels,0,5802.34
2025-03-05T17:45:00+00:00,PT15M,Wind Onshore,4.63,5739.63
2025-03-05T17:45:00+00:00,PT15M,Wind Offshore,46.24,5739.63
2025-03-05T17:45:00+00:00,PT15M,Water,509.57,5739.63
2025-03-05T17:45:00+00:00,PT15M,Solar,0,5739.63
2025-03-05T17:45:00+00:00,PT15M,Other Fuel,0,5739.63
2025-03-05T17:45:00+00:00,PT15M,Other,368,5739.63
2025-03-05T17:45:00+00:00,PT15M,Nuclear,3485.19,5739.63
2025-03-05T17:45:00+00:00,PT15M,Natural Gas,1326,5739.63
2025-03-05T17:45:00+00:00,PT15M,Biofuels,0,5739.63
2025-03-05T17:30:00+00:00,PT15M,Wind Onshore,4.97,5786.88
2025-03-05T17:30:00+00:00,PT15M,Wind Offshore,39.5,5786.88
2025-03-05T17:30:00+00:00,PT15M,Water,563.16,5786.88
2025-03-05T17:30:00+00:00,PT15M,Solar,0.03,5786.88
2025-03-05T17:30:00+00:00,PT15M,Other Fuel,0,5786.88
2025-03-05T17:30:00+00:00,PT15M,Other,373.43,5786.88
2025-03-05T17:30:00+00:00,PT15M,Nuclear,3484.58,5786.88
2025-03-05T17:30:00+00:00,PT15M,Natural Gas,1321.21,5786.88
2025-03-05T17:30:00+00:00,PT15M,Biofuels,0,5786.88
2025-03-05T17:15:00+00:00,PT15M,Wind Onshore,4.9,5743.16
2025-03-05T17:15:00+00:00,PT15M,Wind Offshore,33.92,5743.16
2025-03-05T17:15:00+00:00,PT15M,Water,518.05,5743.16
2025-03-05T17:15:00+00:00,PT15M,Solar,0.62,5743.16
2025-03-05T17:15:00+00:00,PT15M,Other Fuel,0,5743.16
2025-03-05T17:15:00+00:00,PT15M,Other,382.76,5743.16
2025-03-05T17:15:00+00:00,PT15M,Nuclear,3484.9,5743.16
2025-03-05T17:15:00+00:00,PT15M,Natural Gas,1318.01,5743.16
2025-03-05T17:15:00+00:00,PT15M,Biofuels,0,5743.16
2025-03-05T17:00:00+00:00,PT15M,Wind Onshore,3.82,5716.88
2025-03-05T17:00:00+00:00,PT15M,Wind Offshore,46.13,5716.88
2025-03-05T17:00:00+00:00,PT15M,Water,503.97,5716.88
2025-03-05T17:00:00+00:00,PT15M,Solar,1.58,5716.88
2025-03-05T17:00:00+00:00,PT15M,Other Fuel,0,5716.88
2025-03-05T17:00:00+00:00,PT15M,Other,361.91,5716.88
2025-03-05T17:00:00+00:00,PT15M,Nuclear,3484.79,5716.88
2025-03-05T17:00:00+00:00,PT15M,Natural Gas,1314.68,5716.88
2025-03-05T17:00:00+00:00,PT15M,Biofuels,0,5716.88
2025-03-05T16:45:00+00:00,PT15M,Wind Onshore,2.99,5821.5
2025-03-05T16:45:00+00:00,PT15M,Wind Offshore,53.55,5821.5
2025-03-05T16:45:00+00:00,PT15M,Water,561.1,5821.5
2025-03-05T16:45:00+00:00,PT15M,Solar,4.52,5821.5
2025-03-05T16:45:00+00:00,PT15M,Other Fuel,0,5821.5
2025-03-05T16:45:00+00:00,PT15M,Other,414.85,5821.5
2025-03-05T16:45:00+00:00,PT15M,Nuclear,3483.35,5821.5
2025-03-05T16:45:00+00:00,PT15M,Natural Gas,1301.14,5821.5
2025-03-05T16:45:00+00:00,PT15M,Biofuels,0,5821.5
2025-03-05T16:30:00+00:00,PT15M,Wind Onshore,2.24,5600.06
2025-03-05T16:30:00+00:00,PT15M,Wind Offshore,47.43,5600.06
2025-03-05T16:30:00+00:00,PT15M,Water,370.77,5600.06
2025-03-05T16:30:00+00:00,PT15M,Solar,7.68,5600.06
2025-03-05T16:30:00+00:00,PT15M,Other Fuel,0,5600.06
2025-03-05T16:30:00+00:00,PT15M,Other,403.37,5600.06
2025-03-05T16:30:00+00:00,PT15M,Nuclear,3482.01,5600.06
2025-03-05T16:30:00+00:00,PT15M,Natural Gas,1286.56,5600.06
2025-03-05T16:30:00+00:00,PT15M,Biofuels,0,5600.06
